Date,Ticker,Open,Close,Volume,Sector,Industry
2020-10-09,AAPL,115.28,116.97,100506900,Technology,Consumer Electronics
2020-10-12,AAPL,120.06,124.4,240226800,Technology,Consumer Electronics
2020-10-13,AAPL,125.27,121.1,262330500,Technology,Consumer Electronics
2020-10-14,AAPL,121.0,121.19,151062300,Technology,Consumer Electronics
2020-10-15,AAPL,118.72,120.71,112559200,Technology,Consumer Electronics
2020-10-16,AAPL,121.28,119.02,115393800,Technology,Consumer Electronics
2020-10-19,AAPL,119.96,115.98,120639300,Technology,Consumer Electronics
2020-10-20,AAPL,116.2,117.51,124423700,Technology,Consumer Electronics
2020-10-21,AAPL,116.67,116.87,89946000,Technology,Consumer Electronics
2020-10-22,AAPL,117.45,115.75,101988000,Technology,Consumer Electronics
2020-10-23,AAPL,116.39,115.04,82572600,Technology,Consumer Electronics
2020-10-26,AAPL,114.01,115.05,111850700,Technology,Consumer Electronics
2020-10-27,AAPL,115.49,116.6,92276800,Technology,Consumer Electronics
2020-10-28,AAPL,115.05,111.2,143937800,Technology,Consumer Electronics
2020-10-29,AAPL,112.37,115.32,146129200,Technology,Consumer Electronics
2020-10-30,AAPL,111.06,108.86,190272600,Technology,Consumer Electronics
2020-11-02,AAPL,109.11,108.77,122866900,Technology,Consumer Electronics
2020-11-03,AAPL,109.66,110.44,107624400,Technology,Consumer Electronics
2020-11-04,AAPL,114.14,114.95,138235500,Technology,Consumer Electronics
2020-11-05,AAPL,117.95,119.03,126387100,Technology,Consumer Electronics
2020-11-06,AAPL,118.32,118.69,114457900,Technology,Consumer Electronics
2020-11-09,AAPL,120.5,116.32,154515300,Technology,Consumer Electronics
2020-11-10,AAPL,115.55,115.97,138023400,Technology,Consumer Electronics
2020-11-11,AAPL,117.19,119.49,112295000,Technology,Consumer Electronics
2020-11-12,AAPL,119.62,119.21,103162300,Technology,Consumer Electronics
2020-11-13,AAPL,119.44,119.26,81581900,Technology,Consumer Electronics
2020-11-16,AAPL,118.92,120.3,91183000,Technology,Consumer Electronics
2020-11-17,AAPL,119.55,119.39,74271000,Technology,Consumer Electronics
2020-11-18,AAPL,118.61,118.03,76322100,Technology,Consumer Electronics
2020-11-19,AAPL,117.59,118.64,74113000,Technology,Consumer Electronics
2020-11-20,AAPL,118.64,117.34,73604300,Technology,Consumer Electronics
2020-11-23,AAPL,117.18,113.85,127959300,Technology,Consumer Electronics
2020-11-24,AAPL,113.91,115.17,113874200,Technology,Consumer Electronics
2020-11-25,AAPL,115.55,116.03,76499200,Technology,Consumer Electronics
